Transaccion_id,Fecha_transcc,Cliente_id,Factura,Fecha_Factura,Item,Precio_unitario,Cantidad,Subtotal,IVA_12,Total_Factura,Forma_pago
28,"2021-04-16 00:00:00",253,F-000-0028,"2021-04-16 00:00:00",Pack-A,150,2,300,36,336,Credito
29,"2021-06-16 00:00:00",298,F-000-0029,"2021-06-16 00:00:00",Pack-B,250,9,2250,270,2520,Credito
30,"2021-01-11 00:00:00",357,F-000-0030,"2021-01-11 00:00:00",Pack-B,250,3,750,90,840,Credito
31,"2021-04-21 00:00:00",309,F-000-0031,"2021-04-21 00:00:00",Pack-B,250,5,1250,150,1400,Credito
32,"2021-02-04 00:00:00",185,F-000-0032,"2021-02-04 00:00:00",Pack-A,150,4,600,72,672,Credito
33,"2021-05-12 00:00:00",357,F-000-0033,"2021-05-12 00:00:00",Pack-A,150,1,150,18,168,Credito
34,"2021-02-17 00:00:00",486,F-000-0034,"2021-02-17 00:00:00",Pack-C,350,5,1750,210,1960,Credito
35,"2021-03-02 00:00:00",165,F-000-0035,"2021-03-02 00:00:00",Pack-B,250,4,1000,120,1120,Credito
36,"2021-05-13 00:00:00",164,F-000-0036,"2021-05-13 00:00:00",Pack-B,250,5,1250,150,1400,Credito
37,"2021-01-06 00:00:00",309,F-000-0037,"2021-01-06 00:00:00",Pack-B,250,4,1000,120,1120,Credito
38,"2021-04-09 00:00:00",439,F-000-0038,"2021-04-09 00:00:00",Pack-C,350,4,1400,168,1568,Credito
39,"2021-02-02 00:00:00",191,F-000-0039,"2021-02-02 00:00:00",Pack-C,350,3,1050,126,1176,Credito
40,"2021-01-07 00:00:00",197,F-000-0040,"2021-01-07 00:00:00",Pack-B,250,7,1750,210,1960,Credito
41,"2021-02-09 00:00:00",357,F-000-0041,"2021-02-09 00:00:00",Pack-B,250,8,2000,240,2240,Credito
42,"2021-04-16 00:00:00",12,F-000-0042,"2021-04-16 00:00:00",Pack-B,250,7,1750,210,1960,Credito
43,"2021-01-13 00:00:00",485,F-000-0043,"2021-01-13 00:00:00",Pack-C,350,6,2100,252,2352,Credito
44,"2021-01-11 00:00:00",12,F-000-0044,"2021-01-11 00:00:00",Pack-A,150,9,1350,162,1512,Credito
45,"2021-02-08 00:00:00",309,F-000-0045,"2021-02-08 00:00:00",Pack-C,350,1,350,42,392,Credito
46,"2021-04-27 00:00:00",345,F-000-0046,"2021-04-27 00:00:00",Pack-A,150,8,1200,144,1344,Credito
47,"2021-04-21 00:00:00",164,F-000-0047,"2021-04-21 00:00:00",Pack-B,250,9,2250,270,2520,Credito
48,"2021-06-11 00:00:00",378,F-000-0048,"2021-06-11 00:00:00",Pack-A,150,1,150,18,168,Credito
49,"2021-06-10 00:00:00",197,F-000-0049,"2021-06-10 00:00:00",Pack-A,150,5,750,90,840,Credito
50,"2021-01-26 00:00:00",259,F-000-0050,"2021-01-26 00:00:00",Pack-C,350,3,1050,126,1176,Credito
51,"2021-02-26 00:00:00",77,F-000-0051,"2021-02-26 00:00:00",Pack-C,350,8,2800,336,3136,Credito
52,"2021-04-27 00:00:00",345,F-000-0052,"2021-04-27 00:00:00",Pack-C,350,2,700,84,784,Credito
53,"2021-03-02 00:00:00",351,F-000-0053,"2021-03-02 00:00:00",Pack-C,350,8,2800,336,3136,Credito
54,"2021-03-26 00:00:00",461,F-000-0054,"2021-03-26 00:00:00",Pack-C,350,3,1050,126,1176,Credito
55,"2021-06-23 00:00:00",325,F-000-0055,"2021-06-23 00:00:00",Pack-A,150,3,450,54,504,Credito
56,"2021-06-29 00:00:00",226,F-000-0056,"2021-06-29 00:00:00",Pack-C,350,7,2450,294,2744,Credito
57,"2021-02-22 00:00:00",329,F-000-0057,"2021-02-22 00:00:00",Pack-C,350,5,1750,210,1960,Credito
58,"2021-01-28 00:00:00",164,F-000-0058,"2021-01-28 00:00:00",Pack-A,150,3,450,54,504,Credito
59,"2021-03-10 00:00:00",142,F-000-0059,"2021-03-10 00:00:00",Pack-B,250,8,2000,240,2240,Credito
60,"2021-01-15 00:00:00",342,F-000-0060,"2021-01-15 00:00:00",Pack-A,150,8,1200,144,1344,Credito
61,"2021-02-24 00:00:00",191,F-000-0061,"2021-02-24 00:00:00",Pack-B,250,1,250,30,280,Credito
62,"2021-01-14 00:00:00",142,F-000-0062,"2021-01-14 00:00:00",Pack-C,350,7,2450,294,2744,Credito
63,"2021-03-26 00:00:00",500,F-000-0063,"2021-03-26 00:00:00",Pack-C,350,9,3150,378,3528,Credito
64,"2021-03-16 00:00:00",3,F-000-0064,"2021-03-16 00:00:00",Pack-B,250,5,1250,150,1400,Credito
65,"2021-04-21 00:00:00",165,F-000-0065,"2021-04-21 00:00:00",Pack-B,250,8,2000,240,2240,Credito
66,"2021-03-18 00:00:00",253,F-000-0066,"2021-03-18 00:00:00",Pack-A,150,3,450,54,504,Credito
67,"2021-01-14 00:00:00",485,F-000-0067,"2021-01-14 00:00:00",Pack-B,250,8,2000,240,2240,Credito
68,"2021-01-21 00:00:00",329,F-000-0068,"2021-01-21 00:00:00",Pack-B,250,3,750,90,840,Credito
69,"2021-03-22 00:00:00",164,F-000-0069,"2021-03-22 00:00:00",Pack-B,250,6,1500,180,1680,Credito
70,"2021-04-22 00:00:00",164,F-000-0070,"2021-04-22 00:00:00",Pack-C,350,2,700,84,784,Credito
71,"2021-06-25 00:00:00",113,F-000-0071,"2021-06-25 00:00:00",Pack-A,150,7,1050,126,1176,Credito
72,"2021-06-28 00:00:00",500,F-000-0072,"2021-06-28 00:00:00",Pack-C,350,5,1750,210,1960,Credito
73,"2021-06-09 00:00:00",306,F-000-0073,"2021-06-09 00:00:00",Pack-B,250,8,2000,240,2240,Credito
74,"2021-04-08 00:00:00",325,F-000-0074,"2021-04-08 00:00:00",Pack-B,250,2,500,60,560,Credito
75,"2021-03-23 00:00:00",461,F-000-0075,"2021-03-23 00:00:00",Pack-A,150,6,900,108,1008,Credito
76,"2021-05-24 00:00:00",430,F-000-0076,"2021-05-24 00:00:00",Pack-A,150,5,750,90,840,Credito
77,"2021-06-16 00:00:00",467,F-000-0077,"2021-06-16 00:00:00",Pack-C,350,1,350,42,392,Credito
78,"2021-03-01 00:00:00",342,F-000-0078,"2021-03-01 00:00:00",Pack-B,250,3,750,90,840,Credito
79,"2021-06-16 00:00:00",140,F-000-0079,"2021-06-16 00:00:00",Pack-C,350,9,3150,378,3528,Credito
80,"2021-02-12 00:00:00",357,F-000-0080,"2021-02-12 00:00:00",Pack-A,150,9,1350,162,1512,Credito
81,"2021-05-05 00:00:00",439,F-000-0081,"2021-05-05 00:00:00",Pack-A,150,9,1350,162,1512,Credito
82,"2021-03-11 00:00:00",348,F-000-0082,"2021-03-11 00:00:00",Pack-C,350,5,1750,210,1960,Credito
83,"2021-04-08 00:00:00",309,F-000-0083,"2021-04-08 00:00:00",Pack-B,250,7,1750,210,1960,Credito
84,"2021-06-30 00:00:00",254,F-000-0084,"2021-06-30 00:00:00",Pack-B,250,2,500,60,560,Credito
85,"2021-05-03 00:00:00",306,F-000-0085,"2021-05-03 00:00:00",Pack-C,350,6,2100,252,2352,Credito
86,"2021-02-23 00:00:00",229,F-000-0086,"2021-02-23 00:00:00",Pack-C,350,3,1050,126,1176,Credito
87,"2021-04-07 00:00:00",467,F-000-0087,"2021-04-07 00:00:00",Pack-A,150,3,450,54,504,Credito
88,"2021-01-14 00:00:00",500,F-000-0088,"2021-01-14 00:00:00",Pack-B,250,5,1250,150,1400,Credito
89,"2021-06-14 00:00:00",329,F-000-0089,"2021-06-14 00:00:00",Pack-A,150,7,1050,126,1176,Credito
90,"2021-05-24 00:00:00",141,F-000-0090,"2021-05-24 00:00:00",Pack-B,250,8,2000,240,2240,Credito
91,"2021-02-19 00:00:00",351,F-000-0091,"2021-02-19 00:00:00",Pack-A,150,9,1350,162,1512,Credito
92,"2021-05-28 00:00:00",461,F-000-0092,"2021-05-28 00:00:00",Pack-C,350,3,1050,126,1176,Credito
93,"2021-05-18 00:00:00",298,F-000-0093,"2021-05-18 00:00:00",Pack-A,150,1,150,18,168,Credito
94,"2021-05-03 00:00:00",306,F-000-0094,"2021-05-03 00:00:00",Pack-A,150,4,600,72,672,Credito
95,"2021-04-30 00:00:00",485,F-000-0095,"2021-04-30 00:00:00",Pack-A,150,1,150,18,168,Credito
96,"2021-03-26 00:00:00",221,F-000-0096,"2021-03-26 00:00:00",Pack-B,250,9,2250,270,2520,Credito
97,"2021-03-05 00:00:00",142,F-000-0097,"2021-03-05 00:00:00",Pack-A,150,8,1200,144,1344,Credito
98,"2021-03-19 00:00:00",467,F-000-0098,"2021-03-19 00:00:00",Pack-C,350,7,2450,294,2744,Credito
99,"2021-04-02 00:00:00",298,F-000-0099,"2021-04-02 00:00:00",Pack-B,250,5,1250,150,1400,Credito
100,"2021-03-15 00:00:00",324,F-000-0100,"2021-03-15 00:00:00",Pack-A,150,9,1350,162,1512,Credito
101,"2021-05-21 00:00:00",228,F-000-0101,"2021-05-21 00:00:00",Pack-A,150,7,1050,126,1176,Credito
102,"2021-06-14 00:00:00",325,F-000-0102,"2021-06-14 00:00:00",Pack-C,350,2,700,84,784,Credito
103,"2021-01-19 00:00:00",467,F-000-0103,"2021-01-19 00:00:00",Pack-B,250,2,500,60,560,Credito
104,"2021-02-22 00:00:00",185,F-000-0104,"2021-02-22 00:00:00",Pack-C,350,6,2100,252,2352,Credito
105,"2021-04-15 00:00:00",259,F-000-0105,"2021-04-15 00:00:00",Pack-A,150,6,900,108,1008,Credito
106,"2021-05-17 00:00:00",26,F-000-0106,"2021-05-17 00:00:00",Pack-C,350,5,1750,210,1960,Credito
107,"2021-02-15 00:00:00",165,F-000-0107,"2021-02-15 00:00:00",Pack-B,250,5,1250,150,1400,Credito
108,"2021-06-07 00:00:00",306,F-000-0108,"2021-06-07 00:00:00",Pack-B,250,2,500,60,560,Credito
109,"2021-05-31 00:00:00",185,F-000-0109,"2021-05-31 00:00:00",Pack-B,250,8,2000,240,2240,Credito
110,"2021-05-21 00:00:00",3,F-000-0110,"2021-05-21 00:00:00",Pack-B,250,1,250,30,280,Credito
111,"2021-04-06 00:00:00",345,F-000-0111,"2021-04-06 00:00:00",Pack-C,350,1,350,42,392,Credito
112,"2021-04-19 00:00:00",191,F-000-0112,"2021-04-19 00:00:00",Pack-B,250,7,1750,210,1960,Credito
113,"2021-01-05 00:00:00",185,F-000-0113,"2021-01-05 00:00:00",Pack-A,150,8,1200,144,1344,Credito
114,"2021-05-17 00:00:00",228,F-000-0114,"2021-05-17 00:00:00",Pack-C,350,7,2450,294,2744,Credito
115,"2021-01-18 00:00:00",229,F-000-0115,"2021-01-18 00:00:00",Pack-C,350,9,3150,378,3528,Credito
116,"2021-06-25 00:00:00",228,F-000-0116,"2021-06-25 00:00:00",Pack-C,350,6,2100,252,2352,Credito
117,"2021-02-09 00:00:00",309,F-000-0117,"2021-02-09 00:00:00",Pack-A,150,7,1050,126,1176,Credito
118,"2021-02-23 00:00:00",461,F-000-0118,"2021-02-23 00:00:00",Pack-A,150,4,600,72,672,Credito
119,"2021-03-18 00:00:00",467,F-000-0119,"2021-03-18 00:00:00",Pack-B,250,9,2250,270,2520,Credito
120,"2021-04-01 00:00:00",228,F-000-0120,"2021-04-01 00:00:00",Pack-A,150,2,300,36,336,Credito
121,"2021-03-08 00:00:00",325,F-000-0121,"2021-03-08 00:00:00",Pack-A,150,1,150,18,168,Credito
122,"2021-03-12 00:00:00",221,F-000-0122,"2021-03-12 00:00:00",Pack-C,350,2,700,84,784,Credito
123,"2021-01-28 00:00:00",41,F-000-0123,"2021-01-28 00:00:00",Pack-B,250,7,1750,210,1960,Credito
124,"2021-06-28 00:00:00",485,F-000-0124,"2021-06-28 00:00:00",Pack-A,150,3,450,54,504,Credito
125,"2021-06-07 00:00:00",157,F-000-0125,"2021-06-07 00:00:00",Pack-B,250,6,1500,180,1680,Credito
126,"2021-04-16 00:00:00",253,F-000-0126,"2021-04-16 00:00:00",Pack-B,250,4,1000,120,1120,Credito
127,"2021-04-09 00:00:00",95,F-000-0127,"2021-04-09 00:00:00",Pack-C,350,8,2800,336,3136,Credito
128,"2021-02-02 00:00:00",135,F-000-0128,"2021-02-02 00:00:00",Pack-A,150,2,300,36,336,Credito
129,"2021-04-23 00:00:00",378,F-000-0129,"2021-04-23 00:00:00",Pack-A,150,5,750,90,840,Credito
130,"2021-03-04 00:00:00",486,F-000-0130,"2021-03-04 00:00:00",Pack-B,250,2,500,60,560,Credito
131,"2021-03-01 00:00:00",185,F-000-0131,"2021-03-01 00:00:00",Pack-A,150,6,900,108,1008,Credito
132,"2021-04-05 00:00:00",262,F-000-0132,"2021-04-05 00:00:00",Pack-B,250,9,2250,270,2520,Credito
133,"2021-03-12 00:00:00",324,F-000-0133,"2021-03-12 00:00:00",Pack-A,150,8,1200,144,1344,Credito
134,"2021-01-04 00:00:00",135,F-000-0134,"2021-01-04 00:00:00",Pack-B,250,2,500,60,560,Credito
135,"2021-06-16 00:00:00",140,F-000-0135,"2021-06-16 00:00:00",Pack-B,250,2,500,60,560,Credito
136,"2021-05-28 00:00:00",351,F-000-0136,"2021-05-28 00:00:00",Pack-B,250,2,500,60,560,Credito
137,"2021-06-01 00:00:00",342,F-000-0137,"2021-06-01 00:00:00",Pack-A,150,6,900,108,1008,Credito
138,"2021-01-07 00:00:00",12,F-000-0138,"2021-01-07 00:00:00",Pack-C,350,8,2800,336,3136,Credito
139,"2021-06-07 00:00:00",281,F-000-0139,"2021-06-07 00:00:00",Pack-A,150,5,750,90,840,Credito
140,"2021-04-16 00:00:00",191,F-000-0140,"2021-04-16 00:00:00",Pack-B,250,8,2000,240,2240,Credito
141,"2021-03-18 00:00:00",298,F-000-0141,"2021-03-18 00:00:00",Pack-C,350,2,700,84,784,Credito
142,"2021-01-07 00:00:00",12,F-000-0142,"2021-01-07 00:00:00",Pack-B,250,6,1500,180,1680,Credito
143,"2021-06-25 00:00:00",141,F-000-0143,"2021-06-25 00:00:00",Pack-C,350,6,2100,252,2352,Credito
144,"2021-01-11 00:00:00",228,F-000-0144,"2021-01-11 00:00:00",Pack-B,250,1,250,30,280,Credito
145,"2021-03-25 00:00:00",113,F-000-0145,"2021-03-25 00:00:00",Pack-C,350,9,3150,378,3528,Credito
146,"2021-04-14 00:00:00",430,F-000-0146,"2021-04-14 00:00:00",Pack-B,250,5,1250,150,1400,Credito
147,"2021-01-27 00:00:00",226,F-000-0147,"2021-01-27 00:00:00",Pack-B,250,2,500,60,560,Credito
148,"2021-05-20 00:00:00",185,F-000-0148,"2021-05-20 00:00:00",Pack-C,350,9,3150,378,3528,Credito
149,"2021-03-19 00:00:00",226,F-000-0149,"2021-03-19 00:00:00",Pack-A,150,8,1200,144,1344,Credito
150,"2021-04-01 00:00:00",298,F-000-0150,"2021-04-01 00:00:00",Pack-A,150,5,750,90,840,Credito
151,"2021-03-10 00:00:00",468,F-000-0151,"2021-03-10 00:00:00",Pack-C,350,9,3150,378,3528,Credito
152,"2021-03-24 00:00:00",77,F-000-0152,"2021-03-24 00:00:00",Pack-A,150,9,1350,162,1512,Credito
153,"2021-02-25 00:00:00",281,F-000-0153,"2021-02-25 00:00:00",Pack-B,250,7,1750,210,1960,Credito
154,"2021-02-23 00:00:00",221,F-000-0154,"2021-02-23 00:00:00",Pack-C,350,6,2100,252,2352,Credito
155,"2021-06-24 00:00:00",253,F-000-0155,"2021-06-24 00:00:00",Pack-A,150,9,1350,162,1512,Credito
156,"2021-01-08 00:00:00",95,F-000-0156,"2021-01-08 00:00:00",Pack-A,150,1,150,18,168,Credito
157,"2021-01-22 00:00:00",281,F-000-0157,"2021-01-22 00:00:00",Pack-A,150,5,750,90,840,Credito
158,"2021-04-08 00:00:00",41,F-000-0158,"2021-04-08 00:00:00",Pack-A,150,8,1200,144,1344,Credito
159,"2021-03-10 00:00:00",358,F-000-0159,"2021-03-10 00:00:00",Pack-B,250,7,1750,210,1960,Credito
160,"2021-04-30 00:00:00",439,F-000-0160,"2021-04-30 00:00:00",Pack-B,250,3,750,90,840,Credito
161,"2021-06-18 00:00:00",157,F-000-0161,"2021-06-18 00:00:00",Pack-C,350,7,2450,294,2744,Credito
162,"2021-02-24 00:00:00",259,F-000-0162,"2021-02-24 00:00:00",Pack-C,350,1,350,42,392,Credito
163,"2021-03-18 00:00:00",228,F-000-0163,"2021-03-18 00:00:00",Pack-B,250,8,2000,240,2240,Credito
164,"2021-06-08 00:00:00",135,F-000-0164,"2021-06-08 00:00:00",Pack-C,350,4,1400,168,1568,Credito
165,"2021-02-03 00:00:00",325,F-000-0165,"2021-02-03 00:00:00",Pack-B,250,4,1000,120,1120,Credito
166,"2021-06-23 00:00:00",461,F-000-0166,"2021-06-23 00:00:00",Pack-C,350,4,1400,168,1568,Credito
167,"2021-06-25 00:00:00",439,F-000-0167,"2021-06-25 00:00:00",Pack-A,150,4,600,72,672,Credito
168,"2021-05-26 00:00:00",26,F-000-0168,"2021-05-26 00:00:00",Pack-B,250,2,500,60,560,Credito
169,"2021-06-17 00:00:00",262,F-000-0169,"2021-06-17 00:00:00",Pack-C,350,6,2100,252,2352,Credito
170,"2021-05-12 00:00:00",164,F-000-0170,"2021-05-12 00:00:00",Pack-C,350,9,3150,378,3528,Credito
171,"2021-02-22 00:00:00",443,F-000-0171,"2021-02-22 00:00:00",Pack-C,350,6,2100,252,2352,Credito
172,"2021-04-20 00:00:00",351,F-000-0172,"2021-04-20 00:00:00",Pack-B,250,2,500,60,560,Credito
173,"2021-04-09 00:00:00",461,F-000-0173,"2021-04-09 00:00:00",Pack-C,350,9,3150,378,3528,Credito
174,"2021-05-28 00:00:00",306,F-000-0174,"2021-05-28 00:00:00",Pack-A,150,4,600,72,672,Credito
175,"2021-01-08 00:00:00",95,F-000-0175,"2021-01-08 00:00:00",Pack-A,150,4,600,72,672,Credito
176,"2021-05-12 00:00:00",254,F-000-0176,"2021-05-12 00:00:00",Pack-C,350,2,700,84,784,Credito
177,"2021-02-25 00:00:00",77,F-000-0177,"2021-02-25 00:00:00",Pack-A,150,8,1200,144,1344,Credito
178,"2021-06-07 00:00:00",329,F-000-0178,"2021-06-07 00:00:00",Pack-B,250,6,1500,180,1680,Credito
179,"2021-06-22 00:00:00",185,F-000-0179,"2021-06-22 00:00:00",Pack-B,250,8,2000,240,2240,Credito
180,"2021-06-28 00:00:00",135,F-000-0180,"2021-06-28 00:00:00",Pack-B,250,8,2000,240,2240,Credito
181,"2021-06-28 00:00:00",197,F-000-0181,"2021-06-28 00:00:00",Pack-A,150,7,1050,126,1176,Credito
182,"2021-03-25 00:00:00",3,F-000-0182,"2021-03-25 00:00:00",Pack-C,350,4,1400,168,1568,Credito
183,"2021-04-16 00:00:00",378,F-000-0183,"2021-04-16 00:00:00",Pack-A,150,1,150,18,168,Credito
184,"2021-05-04 00:00:00",165,F-000-0184,"2021-05-04 00:00:00",Pack-A,150,8,1200,144,1344,Credito
185,"2021-02-17 00:00:00",191,F-000-0185,"2021-02-17 00:00:00",Pack-C,350,3,1050,126,1176,Credito
186,"2021-06-02 00:00:00",165,F-000-0186,"2021-06-02 00:00:00",Pack-C,350,7,2450,294,2744,Credito
187,"2021-06-09 00:00:00",164,F-000-0187,"2021-06-09 00:00:00",Pack-B,250,3,750,90,840,Credito
188,"2021-06-08 00:00:00",348,F-000-0188,"2021-06-08 00:00:00",Pack-A,150,2,300,36,336,Credito
189,"2021-02-16 00:00:00",41,F-000-0189,"2021-02-16 00:00:00",Pack-B,250,5,1250,150,1400,Credito
190,"2021-06-22 00:00:00",298,F-000-0190,"2021-06-22 00:00:00",Pack-B,250,6,1500,180,1680,Credito
191,"2021-02-04 00:00:00",309,F-000-0191,"2021-02-04 00:00:00",Pack-A,150,6,900,108,1008,Credito
192,"2021-01-29 00:00:00",140,F-000-0192,"2021-01-29 00:00:00",Pack-A,150,9,1350,162,1512,Credito
193,"2021-01-13 00:00:00",228,F-000-0193,"2021-01-13 00:00:00",Pack-C,350,8,2800,336,3136,Credito
194,"2021-04-28 00:00:00",351,F-000-0194,"2021-04-28 00:00:00",Pack-B,250,6,1500,180,1680,Credito
195,"2021-03-18 00:00:00",485,F-000-0195,"2021-03-18 00:00:00",Pack-B,250,5,1250,150,1400,Credito
196,"2021-03-17 00:00:00",378,F-000-0196,"2021-03-17 00:00:00",Pack-A,150,2,300,36,336,Credito
197,"2021-04-14 00:00:00",430,F-000-0197,"2021-04-14 00:00:00",Pack-B,250,2,500,60,560,Credito
198,"2021-06-03 00:00:00",254,F-000-0198,"2021-06-03 00:00:00",Pack-B,250,2,500,60,560,Credito
199,"2021-04-05 00:00:00",486,F-000-0199,"2021-04-05 00:00:00",Pack-C,350,2,700,84,784,Credito
200,"2021-05-21 00:00:00",42,F-000-0200,"2021-05-21 00:00:00",Pack-A,150,3,450,54,504,Credito
201,"2021-03-18 00:00:00",443,F-000-0201,"2021-03-18 00:00:00",Pack-B,250,9,2250,270,2520,Credito
202,"2021-04-02 00:00:00",325,F-000-0202,"2021-04-02 00:00:00",Pack-C,350,9,3150,378,3528,Credito
203,"2021-03-04 00:00:00",329,F-000-0203,"2021-03-04 00:00:00",Pack-C,350,6,2100,252,2352,Credito
204,"2021-06-08 00:00:00",226,F-000-0204,"2021-06-08 00:00:00",Pack-B,250,6,1500,180,1680,Credito
205,"2021-03-24 00:00:00",140,F-000-0205,"2021-03-24 00:00:00",Pack-C,350,5,1750,210,1960,Credito
206,"2021-02-26 00:00:00",485,F-000-0206,"2021-02-26 00:00:00",Pack-A,150,7,1050,126,1176,Credito
207,"2021-06-30 00:00:00",342,F-000-0207,"2021-06-30 00:00:00",Pack-C,350,5,1750,210,1960,Credito
208,"2021-02-01 00:00:00",439,F-000-0208,"2021-02-01 00:00:00",Pack-C,350,3,1050,126,1176,Credito
209,"2021-05-06 00:00:00",306,F-000-0209,"2021-05-06 00:00:00",Pack-C,350,1,350,42,392,Credito
210,"2021-04-28 00:00:00",26,F-000-0210,"2021-04-28 00:00:00",Pack-B,250,4,1000,120,1120,Credito
211,"2021-02-23 00:00:00",141,F-000-0211,"2021-02-23 00:00:00",Pack-C,350,8,2800,336,3136,Credito
212,"2021-01-27 00:00:00",185,F-000-0212,"2021-01-27 00:00:00",Pack-A,150,2,300,36,336,Credito
213,"2021-06-28 00:00:00",157,F-000-0213,"2021-06-28 00:00:00",Pack-B,250,8,2000,240,2240,Credito
214,"2021-05-19 00:00:00",342,F-000-0214,"2021-05-19 00:00:00",Pack-C,350,7,2450,294,2744,Credito
215,"2021-04-28 00:00:00",228,F-000-0215,"2021-04-28 00:00:00",Pack-A,150,9,1350,162,1512,Credito
216,"2021-05-20 00:00:00",165,F-000-0216,"2021-05-20 00:00:00",Pack-B,250,8,2000,240,2240,Credito
217,"2021-01-01 00:00:00",197,F-000-0217,"2021-01-01 00:00:00",Pack-A,150,6,900,108,1008,Credito
218,"2021-02-26 00:00:00",140,F-000-0218,"2021-02-26 00:00:00",Pack-B,250,5,1250,150,1400,Credito
219,"2021-02-10 00:00:00",221,F-000-0219,"2021-02-10 00:00:00",Pack-A,150,8,1200,144,1344,Credito
220,"2021-02-05 00:00:00",342,F-000-0220,"2021-02-05 00:00:00",Pack-C,350,8,2800,336,3136,Credito
221,"2021-03-05 00:00:00",191,F-000-0221,"2021-03-05 00:00:00",Pack-A,150,9,1350,162,1512,Credito
222,"2021-02-08 00:00:00",213,F-000-0222,"2021-02-08 00:00:00",Pack-C,350,3,1050,126,1176,Credito
223,"2021-02-17 00:00:00",262,F-000-0223,"2021-02-17 00:00:00",Pack-C,350,1,350,42,392,Credito
224,"2021-02-25 00:00:00",226,F-000-0224,"2021-02-25 00:00:00",Pack-B,250,1,250,30,280,Credito
225,"2021-01-18 00:00:00",213,F-000-0225,"2021-01-18 00:00:00",Pack-C,350,4,1400,168,1568,Credito
226,"2021-06-04 00:00:00",468,F-000-0226,"2021-06-04 00:00:00",Pack-C,350,2,700,84,784,Credito
227,"2021-05-12 00:00:00",357,F-000-0227,"2021-05-12 00:00:00",Pack-A,150,8,1200,144,1344,Credito
228,"2021-05-27 00:00:00",3,F-000-0228,"2021-05-27 00:00:00",Pack-A,150,8,1200,144,1344,Credito
229,"2021-04-09 00:00:00",345,F-000-0229,"2021-04-09 00:00:00",Pack-B,250,7,1750,210,1960,Credito
